CAS	Chemical	Latin Name	Group	Conc
52315-07-8	Cypermethrin	Pimephales promelas	Fish	9.165151389911678e-05
52315-07-8	Cypermethrin	Rhamdia quelen	Fish	0.09993184753184696
52315-07-8	Cypermethrin	Salmo salar	Fish	0.0001271837464746459
52315-07-8	Cypermethrin	Tilapia sp.	Fish	0.0022360679774997894
52645-53-1	Permethrin	Channa striata	Fish	1.131370849898476
52645-53-1	Permethrin	Crassostrea gigas	Molluscs	1.6837458240482737
52645-53-1	Permethrin	Cyprinus carpio	Fish	0.0032999999999999987
52645-53-1	Permethrin	Danio rerio	Fish	0.02729036034654133
52645-53-1	Permethrin	Daphnia magna	Crustaceans	0.0002184043492497134
52645-53-1	Permethrin	Ictalurus punctatus	Fish	0.004200000000000002
52645-53-1	Permethrin	Lepomis macrochirus	Fish	0.0029017389129688672
52645-53-1	Permethrin	Oncorhynchus mykiss	Fish	0.01564190283721691
52645-53-1	Permethrin	Pimephales promelas	Fish	0.0012784359187348248
52645-53-1	Permethrin	Salmo salar	Fish	0.0007500000000000002
52918-63-5	Deltamethrin	Anguilla anguilla	Fish	8.122523963562356e-05
52918-63-5	Deltamethrin	Carassius auratus	Fish	0.0020000000000000005
52918-63-5	Deltamethrin	Clarias gariepinus	Fish	0.02738612787525831
52918-63-5	Deltamethrin	Cyprinus carpio	Fish	0.0007894663225010002
52918-63-5	Deltamethrin	Danio rerio	Fish	0.0033238112381409916
52918-63-5	Deltamethrin	Daphnia magna	Crustaceans	0.0004578619392832241
52918-63-5	Deltamethrin	Lepomis macrochirus	Fish	0.00020248456731316604
52918-63-5	Deltamethrin	Oncorhynchus mykiss	Fish	0.0003923666973997181
52918-63-5	Deltamethrin	Oreochromis niloticus	Fish	0.003158108788141841
52918-63-5	Deltamethrin	Penaeus monodon	Crustaceans	6.839337033456337e-05
52918-63-5	Deltamethrin	Pimephales promelas	Fish	1.8131860172051655e-05
52918-63-5	Deltamethrin	Poecilia reticulata	Fish	0.15
52918-63-5	Deltamethrin	Procambarus clarkii	Crustaceans	1.22822802611579e-05
52918-63-5	Deltamethrin	Salmo salar	Fish	0.02
52918-63-5	Deltamethrin	Sparus aurata	Fish	0.00010000000000000009
52918-63-5	Deltamethrin	Tilapia sp.	Fish	0.02000000000000001
52918-63-5	Deltametrin	Anguilla anguilla	Fish	8.122523963562356e-05
52918-63-5	Deltametrin	Carassius auratus	Fish	0.0020000000000000005
52918-63-5	Deltametrin	Clarias gariepinus	Fish	0.02738612787525831
52918-63-5	Deltametrin	Cyprinus carpio	Fish	0.0007894663225010002
52918-63-5	Deltametrin	Danio rerio	Fish	0.0033238112381409916
52918-63-5	Deltametrin	Daphnia magna	Crustaceans	0.0004578619392832241
52918-63-5	Deltametrin	Lepomis macrochirus	Fish	0.00020248456731316604
52918-63-5	Deltametrin	Oncorhynchus mykiss	Fish	0.0003923666973997181
52918-63-5	Deltametrin	Oreochromis niloticus	Fish	0.003158108788141841
52918-63-5	Deltametrin	Penaeus monodon	Crustaceans	6.839337033456337e-05
52918-63-5	Deltametrin	Pimephales promelas	Fish	1.8131860172051655e-05
52918-63-5	Deltametrin	Poecilia reticulata	Fish	0.15
52918-63-5	Deltametrin	Procambarus clarkii	Crustaceans	1.22822802611579e-05
52918-63-5	Deltametrin	Salmo salar	Fish	0.02
52918-63-5	Deltametrin	Sparus aurata	Fish	0.00010000000000000009
52918-63-5	Deltametrin	Tilapia sp.	Fish	0.02000000000000001
569-64-2	Malachite green	Artemia salina	Crustaceans	0.005999999999999998
569-64-2	Malachite green	Carassius auratus	Fish	1.0
569-64-2	Malachite green	Cyprinus carpio	Fish	3.0000000000000004
569-64-2	Malachite green	Danio rerio	Fish	1.0
569-64-2	Malachite green	Pimephales promelas	Fish	59.999999999999986
62-73-7	Dichlorvos	Anguilla anguilla	Fish	0.6629417683763443
62-73-7	Dichlorvos	Artemia salina	Crustaceans	5.38
62-73-7	Dichlorvos	Carassius auratus	Fish	2.651386039348431
62-73-7	Dichlorvos	Cirrhinus mrigala	Fish	0.22
62-73-7	Dichlorvos	Clarias gariepinus	Fish	2.23606797749979
62-73-7	Dichlorvos	Cyprinus carpio	Fish	1.0
62-73-7	Dichlorvos	Danio rerio	Fish	4.4382323006739695
62-73-7	Dichlorvos	Daphnia magna	Crustaceans	0.0090856029641607
62-73-7	Dichlorvos	Dicentrarchus labrax	Fish	0.12500000000000003
62-73-7	Dichlorvos	Labeo rohita	Fish	0.23
62-73-7	Dichlorvos	Lepomis macrochirus	Fish	2.3100709726560478
62-73-7	Dichlorvos	Oncorhynchus mykiss	Fish	0.39547460828019
62-73-7	Dichlorvos	Sparus aurata	Fish	0.05000000000000001
63-25-2	Carbaryl	Artemia salina	Crustaceans	1.9999999999999998e-05
63-25-2	Carbaryl	Carassius auratus	Fish	1.6431676725154984
63-25-2	Carbaryl	Clarias gariepinus	Fish	0.010061250000000006
63-25-2	Carbaryl	Cyprinus carpio	Fish	0.197484176581315
63-25-2	Carbaryl	Danio rerio	Fish	5.2747060859191
63-25-2	Carbaryl	Daphnia magna	Crustaceans	0.004886024347357836
63-25-2	Carbaryl	Labeo rohita	Fish	0.6583
63-25-2	Carbaryl	Lepomis macrochirus	Fish	0.9561498089819785
63-25-2	Carbaryl	Lithobates catesbeianus	Amphibians	2.653050179333156
63-25-2	Carbaryl	Oncorhynchus mykiss	Fish	0.6107515988892317
63-25-2	Carbaryl	Oreochromis niloticus	Fish	0.27514087585263003
63-25-2	Carbaryl	Paralichthys olivaceus	Fish	3.401608046305038
63-25-2	Carbaryl	Pimephales promelas	Fish	1.0256717706610592
63-25-2	Carbaryl	Poecilia reticulata	Fish	0.5
63-25-2	Carbaryl	Procambarus clarkii	Crustaceans	1.8061793747939603
64-17-5	Ethyl alcohol	Danio rerio	Fish	1843.7033826942568
64-17-5	Ethyl alcohol	Daphnia magna	Crustaceans	156.12884514636866
64-17-5	Ethyl alcohol	Gambusia holbrooki	Fish	373.4654718222926
64-17-5	Ethyl alcohol	Ictalurus punctatus	Fish	10000.00000000001
64-17-5	Ethyl alcohol	Oncorhynchus mykiss	Fish	1.0
64-17-5	Ethyl alcohol	Pimephales promelas	Fish	83.89023847809207
64-17-5	Ethyl alcohol	Salmo salar	Fish	0.045424034
7647-14-5	Sodium chloride	Carassius auratus	Fish	10000.00000000001
7647-14-5	Sodium chloride	Cyprinus carpio	Fish	425.8079415072556
7647-14-5	Sodium chloride	Danio rerio	Fish	296.4023491030799
7647-14-5	Sodium chloride	Daphnia magna	Crustaceans	1954.185826430425
7647-14-5	Sodium chloride	Ictalurus punctatus	Fish	7.530168141335325
7647-14-5	Sodium chloride	Lithobates catesbeianus	Amphibians	10000.00000000001
7647-14-5	Sodium chloride	Oncorhynchus mykiss	Fish	11963.44851194277
7647-14-5	Sodium chloride	Oncorhynchus tshawytscha	Fish	29299.999999999996
7647-14-5	Sodium chloride	Oreochromis niloticus	Fish	17451.567368528362
7647-14-5	Sodium chloride	Pimephales promelas	Fish	179.68055072831035
7647-14-5	Sodium chloride	Procambarus clarkii	Crustaceans	15000.000000000004
7647-14-5	Sodium chloride	Rhamdia quelen	Fish	14770.884695313885
7647-14-5	Sodium chloride	Salmo salar	Fish	120000.00000000006
7681-52-9	Clorox	Artemia franciscana	Crustaceans	79.99999999999997
7681-52-9	Clorox	Cyprinus carpio	Fish	0.10000000000000002
7681-52-9	Clorox	Daphnia magna	Crustaceans	0.11816657504675013
7681-52-9	Clorox	Lepomis macrochirus	Fish	0.8711754349385726
7681-52-9	Clorox	Oncorhynchus gorbuscha	Fish	0.040655854272594154
7681-52-9	Clorox	Oncorhynchus mykiss	Fish	0.8960995458069316
7681-52-9	Sodium Hypochlorite	Artemia franciscana	Crustaceans	79.99999999999997
7681-52-9	Sodium Hypochlorite	Cyprinus carpio	Fish	0.10000000000000002
7681-52-9	Sodium Hypochlorite	Daphnia magna	Crustaceans	0.11816657504675013
7681-52-9	Sodium Hypochlorite	Lepomis macrochirus	Fish	0.8711754349385726
7681-52-9	Sodium Hypochlorite	Oncorhynchus gorbuscha	Fish	0.040655854272594154
7681-52-9	Sodium Hypochlorite	Oncorhynchus mykiss	Fish	0.8960995458069316
7681-52-9	Sodium hypochlorite	Artemia franciscana	Crustaceans	79.99999999999997
7681-52-9	Sodium hypochlorite	Cyprinus carpio	Fish	0.10000000000000002
7681-52-9	Sodium hypochlorite	Daphnia magna	Crustaceans	0.11816657504675013
7681-52-9	Sodium hypochlorite	Lepomis macrochirus	Fish	0.8711754349385726
7681-52-9	Sodium hypochlorite	Oncorhynchus gorbuscha	Fish	0.040655854272594154
7681-52-9	Sodium hypochlorite	Oncorhynchus mykiss	Fish	0.8960995458069317
7722-64-7	Potassium permanganate	Artemia franciscana	Crustaceans	0.2
7722-64-7	Potassium permanganate	Carassius auratus	Fish	15.0
7722-64-7	Potassium permanganate	Clarias gariepinus	Fish	10.000000000000002
7722-64-7	Potassium permanganate	Danio rerio	Fish	2.5
7722-64-7	Potassium permanganate	Daphnia magna	Crustaceans	0.18782971010998234
7722-64-7	Potassium permanganate	Ictalurus punctatus	Fish	0.6235706254107548
7722-64-7	Potassium permanganate	Lepomis macrochirus	Fish	1.8
7722-64-7	Potassium permanganate	Oncorhynchus mykiss	Fish	12.649110640673515
7758-98-7	Copper sulfate	Acipenser baerii	Fish	0.15
7758-98-7	Copper sulfate	Anguilla anguilla	Fish	0.20402638529483336
7758-98-7	Copper sulfate	Artemia franciscana	Crustaceans	0.13572088082974534
7758-98-7	Copper sulfate	Artemia salina	Crustaceans	0.2924017738212867
7758-98-7	Copper sulfate	Carassius auratus	Fish	0.06388649939014726
7758-98-7	Copper sulfate	Channa striata	Fish	49.99999999999999
7758-98-7	Copper sulfate	Clarias gariepinus	Fish	4.885563522756312
7758-98-7	Copper sulfate	Colossoma macropomum	Fish	4.560184860481614
7758-98-7	Copper sulfate	Crassostrea gigas	Molluscs	0.005918693776561609
7758-98-7	Copper sulfate	Ctenopharyngodon idella	Fish	0.06599999999999999
7758-98-7	Copper sulfate	Cyprinus carpio	Fish	0.10776129818494165
7758-98-7	Copper sulfate	Danio rerio	Fish	0.21076763660135808
7758-98-7	Copper sulfate	Daphnia magna	Crustaceans	0.023870690672399494
7758-98-7	Copper sulfate	Epinephelus coioides	Fish	0.03336166239423505
7758-98-7	Copper sulfate	Gambusia holbrooki	Fish	0.21600881056900684
7758-98-7	Copper sulfate	Ictalurus punctatus	Fish	0.09703134327862133
7758-98-7	Copper sulfate	Labeo rohita	Fish	13.244251162841557
7758-98-7	Copper sulfate	Lates calcarifer	Fish	4.472135954999579
7758-98-7	Copper sulfate	Lepomis macrochirus	Fish	100.00000000000004
7758-98-7	Copper sulfate	Lithobates catesbeianus	Amphibians	2.449489742783178
7758-98-7	Copper sulfate	Litopenaeus vannamei	Crustaceans	4.247379921250672
7758-98-7	Copper sulfate	Macrobrachium rosenbergii	Crustaceans	0.08495081834790419
7758-98-7	Copper sulfate	Oncorhynchus mykiss	Fish	0.472340787379854
7758-98-7	Copper sulfate	Oreochromis niloticus	Fish	0.23432086823330153
7758-98-7	Copper sulfate	Paracentrotus lividus	Invertebrates	0.01748001829285426
7758-98-7	Copper sulfate	Penaeus monodon	Crustaceans	0.328278732154714
7758-98-7	Copper sulfate	Pimephales promelas	Fish	0.17918675943194703
7758-98-7	Copper sulfate	Procambarus clarkii	Crustaceans	0.6551853485522242
7758-98-7	Copper sulfate	Salmo salar	Fish	235.3701203286736
7758-98-7	Copper sulfate	Salmo trutta	Fish	0.011931218639204126
7758-98-7	Copper sulfate	Sebastes schlegelii	Fish	242.15627148174946
7758-98-7	Copper sulfate	Sparus aurata	Fish	1.9662231765942135
7758-98-7	Copper sulfate	Trachinotus ovatus	Fish	0.95
7758-98-7	Copper sulphate	Acipenser baerii	Fish	0.15
7758-98-7	Copper sulphate	Anguilla anguilla	Fish	0.20402638529483336
7758-98-7	Copper sulphate	Artemia franciscana	Crustaceans	0.13572088082974534
7758-98-7	Copper sulphate	Artemia salina	Crustaceans	0.2924017738212867
7758-98-7	Copper sulphate	Carassius auratus	Fish	0.06388649939014726
7758-98-7	Copper sulphate	Channa striata	Fish	49.99999999999999
7758-98-7	Copper sulphate	Clarias gariepinus	Fish	4.885563522756312
7758-98-7	Copper sulphate	Colossoma macropomum	Fish	4.560184860481614
7758-98-7	Copper sulphate	Crassostrea gigas	Molluscs	0.005918693776561609
7758-98-7	Copper sulphate	Ctenopharyngodon idella	Fish	0.06599999999999999
7758-98-7	Copper sulphate	Cyprinus carpio	Fish	0.10776129818494165
7758-98-7	Copper sulphate	Danio rerio	Fish	0.21076763660135808
7758-98-7	Copper sulphate	Daphnia magna	Crustaceans	0.023870690672399494
7758-98-7	Copper sulphate	Epinephelus coioides	Fish	0.03336166239423505
7758-98-7	Copper sulphate	Gambusia holbrooki	Fish	0.21600881056900684
7758-98-7	Copper sulphate	Ictalurus punctatus	Fish	0.09703134327862133
7758-98-7	Copper sulphate	Labeo rohita	Fish	13.244251162841557
7758-98-7	Copper sulphate	Lates calcarifer	Fish	4.472135954999579
7758-98-7	Copper sulphate	Lepomis macrochirus	Fish	100.00000000000004
7758-98-7	Copper sulphate	Lithobates catesbeianus	Amphibians	2.449489742783178
7758-98-7	Copper sulphate	Litopenaeus vannamei	Crustaceans	4.247379921250672
7758-98-7	Copper sulphate	Macrobrachium rosenbergii	Crustaceans	0.08495081834790419
7758-98-7	Copper sulphate	Oncorhynchus mykiss	Fish	0.472340787379854
7758-98-7	Copper sulphate	Oreochromis niloticus	Fish	0.23432086823330153
7758-98-7	Copper sulphate	Paracentrotus lividus	Invertebrates	0.01748001829285426
7758-98-7	Copper sulphate	Penaeus monodon	Crustaceans	0.328278732154714
7758-98-7	Copper sulphate	Pimephales promelas	Fish	0.17918675943194703
7758-98-7	Copper sulphate	Procambarus clarkii	Crustaceans	0.6551853485522242
7758-98-7	Copper sulphate	Salmo salar	Fish	235.3701203286736
7758-98-7	Copper sulphate	Salmo trutta	Fish	0.011931218639204126
7758-98-7	Copper sulphate	Sebastes schlegelii	Fish	242.15627148174946
7758-98-7	Copper sulphate	Sparus aurata	Fish	1.9662231765942135
7758-98-7	Copper sulphate	Trachinotus ovatus	Fish	0.95
8003-34-7	Pyrethrins 50%	Daphnia magna	Crustaceans	0.0017838161340227863
8003-34-7	Pyrethrins 50%	Lepomis macrochirus	Fish	0.005400000000000001
8003-34-7	Pyrethrins 50%	Oncorhynchus mykiss	Fish	0.0031000000000000003
8003-34-7	Pyrethrins 50%	Pimephales promelas	Fish	0.0018999999999999996
